tiempo_ms,estado,ax,ay,az,gx,gy,gz,angulo
11684,PARADO,2.014,-8.148,-11.593,3.096,-5.129,6.748,15.445,14.312,9.023
11894,PARADO,-2.500,-5.476,-5.222,-3.836,-2.249,1.834,42.119,7.969,4.810
12104,PARADO,-5.399,0.764,0.828,-2.944,-2.535,-0.563,184.886,5.515,3.925
12314,PARADO,-6.005,3.022,0.500,-3.929,-2.187,6.840,144.624,6.741,8.186
12524,CAIDA,-5.703,9.000,7.803,-5.079,-4.929,6.713,158.264,13.207,9.755
12734,CAIDA,-5.567,9.723,8.907,1.197,7.258,-4.764,159.096,14.313,8.764
12944,CAIDA,-5.078,6.943,-4.983,-0.158,7.522,-7.517,89.290,9.941,10.635
13154,CAIDA,-1.235,0.268,-6.137,-0.226,0.671,3.025,36.552,6.265,3.107
13364,CAIDA,-4.154,8.564,-7.133,-0.295,-2.500,5.844,80.674,11.894,6.364
13574,CAIDA,-11.174,10.394,2.220,-1.413,-2.908,1.375,138.668,15.421,3.513
13784,CAIDA,-7.753,9.187,0.951,-0.164,3.701,-1.826,130.322,12.058,4.131
13994,CAIDA,-4.559,9.369,-6.084,-0.278,3.953,-4.691,87.540,12.065,6.141
14204,CAIDA,-1.324,1.398,-7.061,-0.073,0.689,-0.898,42.232,7.319,1.134
14414,CAIDA,-5.172,5.588,-6.711,0.216,-0.447,1.858,77.204,10.150,1.923
14624,CAIDA,-7.128,6.536,-5.947,0.520,-0.380,2.341,88.517,11.353,2.428
14834,CAIDA,-7.271,6.445,-5.536,0.003,0.558,-0.810,90.841,11.183,0.983
15044,CAIDA,-5.768,6.386,-5.605,-0.657,1.824,-2.395,86.507,10.269,3.081
15254,CAIDA,-3.359,3.972,-7.549,1.161,0.982,-1.467,62.095,9.168,2.113
15464,CAIDA,-3.529,3.285,-7.954,0.433,0.475,0.855,58.469,9.301,1.070
15674,CAIDA,-6.007,4.614,-8.787,3.072,0.628,2.512,68.340,11.601,4.018
15884,CAIDA,-5.370,2.193,-8.155,1.059,-0.071,-0.547,60.821,10.008,1.194
16094,CAIDA,-3.546,-0.129,-9.038,-1.431,-2.331,0.089,42.840,9.710,2.737
16304,CAIDA,-4.434,0.613,-8.493,3.478,-0.421,2.612,50.590,9.600,4.370
16514,CAIDA,-5.402,-1.674,-7.894,0.808,0.863,1.412,50.693,9.710,1.841
16724,CAIDA,-5.375,-1.666,-7.722,-0.428,-0.770,0.064,51.081,9.555,0.883
16934,CAIDA,-6.062,-1.853,-7.365,0.768,0.156,-0.055,55.070,9.717,0.786
tiempo_ms,estado,ax,ay,az,gx,gy,gz,angulo
1199,PARADO,-5.921,-2.559,-7.202,0.447,-0.105,0.361,0.000,9.668,0.584
1399,PARADO,-6.242,-3.151,-6.158,2.405,0.043,0.656,8.672,9.317,2.493
1609,PARADO,-6.721,-3.867,-4.295,2.418,0.791,1.515,25.225,8.864,2.961
1819,PARADO,-8.234,-2.722,-4.099,1.442,0.867,1.466,25.564,9.592,2.231
2029,PARADO,-9.058,-2.964,-4.590,-1.055,-0.127,-0.602,24.967,10.578,1.222
2239,PARADO,-8.184,-2.789,-4.410,1.047,0.678,-0.531,23.475,9.706,1.356
2449,PARADO,-3.888,-1.338,-5.842,0.801,-0.647,-3.424,8.204,7.144,3.575
2659,PARADO,-7.968,-8.481,-5.227,0.310,0.752,1.392,38.799,12.757,1.612
2869,PARADO,-5.373,-4.228,-4.240,2.221,-1.059,0.573,25.690,8.045,2.527
3079,CAMINANDO,-7.650,-6.017,-5.425,-0.370,1.979,-0.734,28.940,11.143,2.143
3289,CAMINANDO,-7.279,-6.330,-4.674,-0.686,-0.830,0.706,34.364,10.719,1.287
3499,CAMINANDO,-7.085,-5.516,-2.950,1.181,-2.942,3.778,43.656,9.451,4.932
3709,CAMINANDO,-7.018,-3.084,-0.065,0.170,0.999,-1.383,74.874,7.666,1.715
3919,CAMINANDO,-5.576,-6.180,-0.599,1.689,1.758,-3.053,65.037,8.345,3.907
4129,CAMINANDO,-7.432,-7.224,-2.732,0.523,0.694,-0.781,50.097,10.718,1.168
4339,CAMINANDO,-7.779,-8.725,-2.222,-0.706,-0.849,1.355,56.232,11.898,1.748
4549,CAMINANDO,-4.913,-3.678,1.492,0.225,-1.573,2.909,93.465,6.316,3.315
4759,CAMINANDO,-7.678,-4.676,0.280,0.635,0.439,-1.487,76.750,8.995,1.675
4969,CAMINANDO,-6.165,-6.982,2.038,2.431,0.581,-2.958,86.742,9.535,3.873
5179,CAMINANDO,-7.427,-7.975,-0.110,1.235,0.480,-1.009,69.838,10.899,1.665
5389,CAMINANDO,-7.001,-7.918,-0.134,-0.660,-0.643,1.238,69.565,10.570,1.543
5599,CAMINANDO,-5.150,-5.028,1.846,-0.432,-1.913,2.876,90.802,7.430,3.481
5809,CAMINANDO,-5.816,-5.488,3.141,0.781,0.777,-1.737,100.340,8.591,2.057
6019,CAMINANDO,-4.784,-7.999,2.775,2.204,1.093,-3.805,89.951,9.725,4.531
6229,CAMINANDO,-6.692,-8.461,1.724,-0.143,0.461,0.230,81.951,10.925,0.535
6439,CAMINANDO,-5.916,-9.189,2.052,-1.350,-1.092,3.174,83.213,11.120,3.618
6649,CAMINANDO,-4.353,-1.506,3.955,-0.308,-0.069,1.442,139.823,6.071,1.476
6859,CAMINANDO,-4.621,-5.837,4.561,2.087,0.696,-3.003,108.594,8.731,3.723
7069,CAMINANDO,-6.572,-8.380,2.351,1.377,1.282,-2.337,86.111,10.906,3.000
7279,CAMINANDO,-6.524,-8.112,1.408,-0.752,-0.737,1.491,80.284,10.505,1.825
7489,CAMINANDO,-4.276,-5.665,4.499,-1.153,-1.621,4.060,109.127,8.403,4.521
